"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 19 20:01:11 GMT 2023","Tue Dec 19 20:01:11 GMT 2023","46","chromium","testBox.spec.ts","","","","Test form with special characters",""
"failed","Tue Dec 19 20:01:25 GMT 2023","Tue Dec 19 20:01:25 GMT 2023","47","firefox","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"failed","Tue Dec 19 20:01:12 GMT 2023","Tue Dec 19 20:01:12 GMT 2023","50","chromium","testBox.spec.ts","","","","Test form with SQL injection string",""
"failed","Tue Dec 19 20:01:14 GMT 2023","Tue Dec 19 20:01:14 GMT 2023","48","chromium","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"failed","Tue Dec 19 20:01:09 GMT 2023","Tue Dec 19 20:01:09 GMT 2023","46","chromium","testBox.spec.ts","","","","Submit empty form",""
"failed","Tue Dec 19 20:01:06 GMT 2023","Tue Dec 19 20:01:06 GMT 2023","46","chromium","testBox.spec.ts","","","","Fill form with only Name and Email",""
"failed","Tue Dec 19 20:01:36 GMT 2023","Tue Dec 19 20:01:36 GMT 2023","45","webkit","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"failed","Tue Dec 19 20:01:27 GMT 2023","Tue Dec 19 20:01:27 GMT 2023","46","webkit","example.spec.ts","","","","get started link",""
"failed","Tue Dec 19 20:01:10 GMT 2023","Tue Dec 19 20:01:10 GMT 2023","49","chromium","testBox.spec.ts","","","","Test form with very long input values",""
"failed","Tue Dec 19 20:01:34 GMT 2023","Tue Dec 19 20:01:34 GMT 2023","46","webkit","testBox.spec.ts","","","","Test form with special characters",""
"failed","Tue Dec 19 20:01:23 GMT 2023","Tue Dec 19 20:01:23 GMT 2023","48","firefox","testBox.spec.ts","","","","Test form with special characters",""
"failed","Tue Dec 19 20:01:19 GMT 2023","Tue Dec 19 20:01:19 GMT 2023","47","firefox","testBox.spec.ts","","","","Fill form with only Current Address",""
"failed","Tue Dec 19 20:01:07 GMT 2023","Tue Dec 19 20:01:07 GMT 2023","46","chromium","testBox.spec.ts","","","","Fill form with all fields",""
"failed","Tue Dec 19 20:01:35 GMT 2023","Tue Dec 19 20:01:35 GMT 2023","47","webkit","testBox.spec.ts","","","","Test form with SQL injection string",""
"failed","Tue Dec 19 20:01:28 GMT 2023","Tue Dec 19 20:01:28 GMT 2023","45","webkit","testBox.spec.ts","","","","Fill form with only Name and Email",""
"failed","Tue Dec 19 20:01:18 GMT 2023","Tue Dec 19 20:01:18 GMT 2023","45","firefox","testBox.spec.ts","","","","Fill form with all fields",""
"failed","Tue Dec 19 20:01:20 GMT 2023","Tue Dec 19 20:01:20 GMT 2023","47","firefox","testBox.spec.ts","","","","Submit empty form",""
"failed","Tue Dec 19 20:01:26 GMT 2023","Tue Dec 19 20:01:26 GMT 2023","47","webkit","example.spec.ts","","","","has title",""
"failed","Tue Dec 19 20:01:24 GMT 2023","Tue Dec 19 20:01:24 GMT 2023","50","firefox","testBox.spec.ts","","","","Test form with SQL injection string",""
"failed","Tue Dec 19 20:01:30 GMT 2023","Tue Dec 19 20:01:30 GMT 2023","45","webkit","testBox.spec.ts","","","","Fill form with only Current Address",""
"failed","Tue Dec 19 20:01:08 GMT 2023","Tue Dec 19 20:01:08 GMT 2023","46","chromium","testBox.spec.ts","","","","Fill form with only Current Address",""
"failed","Tue Dec 19 20:01:33 GMT 2023","Tue Dec 19 20:01:33 GMT 2023","46","webkit","testBox.spec.ts","","","","Test form with very long input values",""
"failed","Tue Dec 19 20:01:16 GMT 2023","Tue Dec 19 20:01:16 GMT 2023","44","firefox","example.spec.ts","","","","get started link",""
"failed","Tue Dec 19 20:01:29 GMT 2023","Tue Dec 19 20:01:29 GMT 2023","46","webkit","testBox.spec.ts","","","","Fill form with all fields",""
"failed","Tue Dec 19 20:01:15 GMT 2023","Tue Dec 19 20:01:15 GMT 2023","45","firefox","example.spec.ts","","","","has title",""
"failed","Tue Dec 19 20:01:17 GMT 2023","Tue Dec 19 20:01:17 GMT 2023","45","firefox","testBox.spec.ts","","","","Fill form with only Name and Email",""
"failed","Tue Dec 19 20:01:05 GMT 2023","Tue Dec 19 20:01:05 GMT 2023","47","chromium","example.spec.ts","","","","get started link",""
"failed","Tue Dec 19 20:01:03 GMT 2023","Tue Dec 19 20:01:03 GMT 2023","47","chromium","example.spec.ts","","","","has title",""
"failed","Tue Dec 19 20:01:21 GMT 2023","Tue Dec 19 20:01:22 GMT 2023","48","firefox","testBox.spec.ts","","","","Test form with very long input values",""
"failed","Tue Dec 19 20:01:32 GMT 2023","Tue Dec 19 20:01:32 GMT 2023","47","webkit","testBox.spec.ts","","","","Submit empty form",""
