"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 20:20:47 GMT 2023","Tue Dec 19 20:20:53 GMT 2023","6344","webkit","testBox.spec.ts","","","","Fill form with only Name and Email",""
"passed","Tue Dec 19 20:15:55 GMT 2023","Tue Dec 19 20:16:00 GMT 2023","5455","firefox","testBox.spec.ts","","","","Fill form with only Current Address",""
"passed","Tue Dec 19 20:22:04 GMT 2023","Tue Dec 19 20:22:10 GMT 2023","6565","webkit","testBox.spec.ts","","","","Test form with SQL injection string",""
"passed","Tue Dec 19 20:21:07 GMT 2023","Tue Dec 19 20:21:10 GMT 2023","3068","webkit","testBox.spec.ts","","","","Submit empty form",""
"passed","Tue Dec 19 20:21:51 GMT 2023","Tue Dec 19 20:22:00 GMT 2023","9025","webkit","testBox.spec.ts","","","","Test form with very long input values",""
"passed","Tue Dec 19 20:20:33 GMT 2023","Tue Dec 19 20:20:41 GMT 2023","8533","firefox","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"passed","Tue Dec 19 20:19:58 GMT 2023","Tue Dec 19 20:20:02 GMT 2023","4077","firefox","testBox.spec.ts","","","","Test form with SQL injection string",""
"passed","Tue Dec 19 20:07:52 GMT 2023","Tue Dec 19 20:07:55 GMT 2023","2753","chromium","testBox.spec.ts","","","","Fill form with only Name and Email",""
"broken","Tue Dec 19 20:12:08 GMT 2023","Tue Dec 19 20:12:38 GMT 2023","30247","chromium","testBox.spec.ts","","","","Test form with SQL injection string",""
"passed","Tue Dec 19 20:09:32 GMT 2023","Tue Dec 19 20:09:35 GMT 2023","2645","chromium","testBox.spec.ts","","","","Test form with very long input values",""
"passed","Tue Dec 19 20:07:50 GMT 2023","Tue Dec 19 20:07:51 GMT 2023","1025","chromium","example.spec.ts","","","","has title",""
"passed","Tue Dec 19 20:20:42 GMT 2023","Tue Dec 19 20:20:46 GMT 2023","3800","webkit","example.spec.ts","","","","has title",""
"passed","Tue Dec 19 20:22:00 GMT 2023","Tue Dec 19 20:22:04 GMT 2023","3831","webkit","testBox.spec.ts","","","","Test form with special characters",""
"passed","Tue Dec 19 20:17:07 GMT 2023","Tue Dec 19 20:17:19 GMT 2023","12324","firefox","testBox.spec.ts","","","","Test form with very long input values",""
"passed","Tue Dec 19 20:09:29 GMT 2023","Tue Dec 19 20:09:32 GMT 2023","2724","chromium","testBox.spec.ts","","","","Submit empty form",""
"passed","Tue Dec 19 20:16:31 GMT 2023","Tue Dec 19 20:16:36 GMT 2023","5019","firefox","testBox.spec.ts","","","","Submit empty form",""
"passed","Tue Dec 19 20:21:00 GMT 2023","Tue Dec 19 20:21:07 GMT 2023","6855","webkit","testBox.spec.ts","","","","Fill form with only Current Address",""
"passed","Tue Dec 19 20:23:32 GMT 2023","Tue Dec 19 20:23:39 GMT 2023","6748","webkit","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"broken","Tue Dec 19 20:08:59 GMT 2023","Tue Dec 19 20:09:29 GMT 2023","30251","chromium","testBox.spec.ts","","","","Fill form with only Current Address",""
"passed","Tue Dec 19 20:14:11 GMT 2023","Tue Dec 19 20:14:13 GMT 2023","1839","firefox","example.spec.ts","","","","has title",""
"passed","Tue Dec 19 20:15:20 GMT 2023","Tue Dec 19 20:15:24 GMT 2023","4129","firefox","testBox.spec.ts","","","","Fill form with all fields",""
"broken","Tue Dec 19 20:13:40 GMT 2023","Tue Dec 19 20:14:10 GMT 2023","30245","chromium","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"passed","Tue Dec 19 20:20:46 GMT 2023","Tue Dec 19 20:20:47 GMT 2023","963","webkit","example.spec.ts","","","","get started link",""
"passed","Tue Dec 19 20:07:51 GMT 2023","Tue Dec 19 20:07:52 GMT 2023","792","chromium","example.spec.ts","","","","get started link",""
"passed","Tue Dec 19 20:07:55 GMT 2023","Tue Dec 19 20:07:57 GMT 2023","2468","chromium","testBox.spec.ts","","","","Fill form with all fields",""
"broken","Tue Dec 19 20:18:23 GMT 2023","Tue Dec 19 20:18:54 GMT 2023","31078","firefox","testBox.spec.ts","","","","Test form with special characters",""
"passed","Tue Dec 19 20:20:53 GMT 2023","Tue Dec 19 20:21:00 GMT 2023","7099","webkit","testBox.spec.ts","","","","Fill form with all fields",""
"passed","Tue Dec 19 20:14:13 GMT 2023","Tue Dec 19 20:14:13 GMT 2023","752","firefox","example.spec.ts","","","","get started link",""
"broken","Tue Dec 19 20:10:36 GMT 2023","Tue Dec 19 20:11:06 GMT 2023","30240","chromium","testBox.spec.ts","","","","Test form with special characters",""
"passed","Tue Dec 19 20:14:13 GMT 2023","Tue Dec 19 20:14:16 GMT 2023","2944","firefox","testBox.spec.ts","","","","Fill form with only Name and Email",""
